sample_id,embryo_id,edge_jaccard_adjusted_approx,edge_jaccard_matched,node_recall_sparse_gt,edge_fn,edge_fp_matched,gt_nodes_sparse,pred_nodes,gt_edges_sparse,pred_edges,match_distance_p95_um,division_like_sources,safe_divisions_added,gap_added_nodes_frac,short_track_nodes_removed,estimated_number_of_nodes,target_reason
44b6_87bba6c4,44b6,0.7449664429530202,0.7449664429530202,0.934640522875817,38,0,153,29537,149,28217,4.942244555867304,119,119,0.0253086818798888,2124,,bottom24_edge_score
44b6_f28707c6,44b6,0.7868852459016393,0.7868852459016393,0.873015873015873,13,0,63,21694,61,20931,4.039997463923051,45,45,0.0168858069164265,864,,bottom24_edge_score
6bba_207c6aaf,6bba,0.8013245033112583,0.8013245033112583,0.9557894736842104,87,3,475,20646,450,19705,5.23008748789422,82,83,0.0252543940795559,1485,,bottom24_edge_score
6bba_c73a1d11,6bba,0.8265734265734266,0.8265734265734266,0.9837177747625508,119,5,737,27709,710,26447,5.462510954330102,110,110,0.0234502376244493,1755,,bottom24_edge_score
44b6_e57ff5c6,44b6,0.8333333333333334,0.8333333333333334,0.9689119170984456,31,0,193,17322,186,16405,4.531148033640219,63,63,0.0331254258608941,2320,,bottom24_edge_score
44b6_2f31fc2f,44b6,0.8352941176470589,0.8352941176470589,1.0,14,0,89,19385,85,18402,4.50349303453272,80,80,0.0339853876973839,2499,,bottom24_edge_score
6bba_32db13fc,6bba,0.8448275862068966,0.8448275862068966,0.9593967517401392,125,1,862,46384,811,44505,5.248090501227981,145,145,0.0216769000995685,2825,,bottom24_edge_score
6bba_0c7fa718,6bba,0.8454545454545455,0.8454545454545455,0.9502840909090908,101,1,704,12870,659,12172,4.142664635297728,13,13,0.0128943956202276,1174,,bottom24_edge_score
44b6_71a4179f,44b6,0.8487394957983193,0.8487394957983193,1.0,18,0,121,23127,119,22089,3.447145558284419,98,98,0.0314111761740411,3458,,bottom24_edge_score
6bba_ebff6e76,6bba,0.8529644268774703,0.8529644268774703,0.973444613050076,185,1,1318,52707,1264,50658,5.447379228245292,212,212,0.0268115546333205,3691,,bottom24_edge_score+high_division_like_in_bottom60
6bba_57b7cc1e,6bba,0.8586683417085427,0.8586683417085427,0.9752863170584688,225,0,1659,82718,1592,79460,5.662771576965137,334,334,0.0230199928638022,6130,,bottom24_edge_score+high_division_like_in_bottom60
6bba_67ebd073,6bba,0.8587699316628702,0.8587699316628702,0.9783549783549784,61,1,462,15796,438,15027,5.671499255683327,58,58,0.0247177658942364,1433,,bottom24_edge_score
6bba_6479435d,6bba,0.8588640275387264,0.8588640275387264,0.9837925445705024,81,1,617,28997,580,27682,4.958913218891817,97,97,0.0231254379817799,1617,,bottom24_edge_score
6bba_786893ac,6bba,0.8594982078853046,0.8594982078853046,0.9911262798634812,196,0,1465,63691,1395,61248,5.371023593781538,257,257,0.0262527676110433,4407,,bottom24_edge_score+high_division_like_in_bottom60
6bba_7f87b3d8,6bba,0.861995753715499,0.861995753715499,0.957,122,8,1000,9543,934,9011,4.834161178287319,10,10,0.0184920407968735,1079,,bottom24_edge_score
44b6_706092f0,44b6,0.8632478632478633,0.8632478632478633,0.940677966101695,16,0,118,18975,117,18091,3.799732917052724,80,80,0.0316452785060484,3435,,bottom24_edge_score
6bba_a90a0b9c,6bba,0.8690582959641255,0.8690582959641255,0.979075850043592,143,3,1147,31582,1112,30446,5.658407737606049,128,128,0.0238900634249471,2314,,bottom24_edge_score
6bba_1f58c2f6,6bba,0.8729096989966555,0.8729096989966555,0.996845425867508,38,0,317,31878,299,30591,4.351433997249957,93,93,0.0230196138056864,1741,,bottom24_edge_score
6bba_767a1e17,6bba,0.8761329305135952,0.8761329305135952,0.98050139275766,78,4,718,51972,658,49417,4.89189779763437,189,189,0.0169208770257387,3428,,bottom24_edge_score+high_division_like_in_bottom60
44b6_e29f0176,44b6,0.88,0.88,0.9803921568627452,6,0,51,13882,50,13275,3.8443639197857142,37,37,0.0153580076098235,766,,bottom24_edge_score
6bba_55c70843,6bba,0.8803418803418803,0.8803418803418803,0.9959183673469388,55,1,490,40560,467,39149,5.3895152843275245,161,162,0.0212491951062459,2255,,bottom24_edge_score
6bba_3db54e20,6bba,0.8839662447257384,0.8839662447257384,0.9721115537848606,55,0,502,24483,474,23338,4.930517060684225,91,91,0.0128509677168114,1507,,bottom24_edge_score
6bba_fc83837d,6bba,0.8878101402373247,0.8878101402373247,0.9613375130616508,100,4,957,13776,923,13127,5.343384490423649,56,56,0.0248799945913055,1377,,bottom24_edge_score
6bba_f1fde7e0,6bba,0.8878923766816144,0.8878923766816144,0.953781512605042,50,0,476,8547,446,8049,4.318496736423452,8,8,0.0168094218415417,885,,bottom24_edge_score
44b6_18ced818,44b6,0.9292929292929292,0.9292929292929292,1.0,7,0,100,73539,99,70749,3.5694003182591465,295,295,0.0262305402179757,4689,,high_division_like_in_bottom60
6bba_b329af44,6bba,0.9250788643533124,0.9250788643533124,0.9870820668693008,95,0,1316,67200,1268,65218,4.0827619710803615,267,267,0.0161123494019783,2534,,high_division_like_in_bottom60
6bba_05db0fb1,6bba,0.9315878378378378,0.9315878378378378,0.997558991049634,80,1,1229,68802,1183,66864,3.832554834897995,248,249,0.0133047822983583,2155,,high_division_like_in_bottom60
6bba_3abfe10a,6bba,0.903948772678762,0.903948772678762,0.9879638916750252,88,2,997,57079,935,54895,4.7688924081989565,228,228,0.0178417412186501,3075,,high_division_like_in_bottom60
