sample_id,embryo_id,edge_jaccard_adjusted_approx,edge_jaccard_matched,node_recall_sparse_gt,edge_fn,edge_fp_matched,match_distance_p95_um,gt_nodes_sparse,pred_nodes,gt_edges_sparse,pred_edges,gt_divisions_direct,pred_divisions_direct,division_like_sources,safe_divisions_added,motion_relink_relaxed_edges,gap_added_nodes_frac,short_track_nodes_removed,dropped_long_edges,edge_to_node_ratio,bottom24_edge_rescue,low_recall_rescue,motion_gap_conservative,branch_div_conservative
44b6_87bba6c4,44b6,0.7449664429530202,0.7449664429530202,0.934640522875817,38,0,4.942244555867304,153,29537,149,28217,0,119,119,119,2363,0.0253086818798888,2124,6,0.9553102887903308,1,1,1,0
44b6_f28707c6,44b6,0.7868852459016393,0.7868852459016393,0.873015873015873,13,0,4.039997463923051,63,21694,61,20931,0,45,45,45,1078,0.0168858069164265,864,6,0.9648289849728036,1,1,0,0
6bba_207c6aaf,6bba,0.8013245033112583,0.8013245033112583,0.9557894736842104,87,3,5.23008748789422,475,20646,450,19705,1,82,82,83,1678,0.0252543940795559,1485,1,0.9544221640995836,1,1,1,0
6bba_c73a1d11,6bba,0.8265734265734266,0.8265734265734266,0.9837177747625508,119,5,5.462510954330102,737,27709,710,26447,0,110,110,110,2308,0.0234502376244493,1755,1,0.9544552311523332,1,0,1,0
44b6_e57ff5c6,44b6,0.8333333333333334,0.8333333333333334,0.9689119170984456,31,0,4.531148033640219,193,17322,186,16405,0,63,63,63,2208,0.0331254258608941,2320,11,0.9470615402378478,1,0,1,0
44b6_2f31fc2f,44b6,0.8352941176470589,0.8352941176470589,1.0,14,0,4.50349303453272,89,19385,85,18402,0,80,80,80,1655,0.0339853876973839,2499,6,0.949290688676812,1,0,1,0
6bba_32db13fc,6bba,0.8448275862068966,0.8448275862068966,0.9593967517401392,125,1,5.248090501227981,862,46384,811,44505,1,145,145,145,2964,0.0216769000995685,2825,12,0.959490341497068,1,1,1,0
6bba_0c7fa718,6bba,0.8454545454545455,0.8454545454545455,0.9502840909090908,101,1,4.142664635297728,704,12870,659,12172,0,13,13,13,2348,0.0128943956202276,1174,8,0.9457653457653458,1,1,0,0
44b6_71a4179f,44b6,0.8487394957983193,0.8487394957983193,1.0,18,0,3.447145558284419,121,23127,119,22089,0,98,98,98,341,0.0314111761740411,3458,1,0.9551173952523024,1,0,0,0
6bba_ebff6e76,6bba,0.8529644268774703,0.8529644268774703,0.973444613050076,185,1,5.447379228245292,1318,52707,1264,50658,0,212,212,212,1482,0.0268115546333205,3691,2,0.961124708293016,1,0,1,1
